constraint,threshold,debt_capacity,headroom_vs_current_debt,implied_interest_rate_proxy
gross_leverage,3.0,21981.0,-3589.0,0.04724286272976144
gross_leverage,4.0,29308.0,3738.0,0.04724286272976144
gross_leverage,5.0,36635.0,11065.0,0.04724286272976144
gross_leverage,6.0,43962.0,18392.0,0.04724286272976144
ebitda_interest_coverage,2.0,77546.10513245032,51976.10513245032,0.04724286272976144
ebitda_interest_coverage,2.5,62036.884105960264,36466.884105960264,0.04724286272976144
ebitda_interest_coverage,3.0,51697.40342163355,26127.40342163355,0.04724286272976144
ebitda_interest_coverage,3.5,44312.0600756859,18742.0600756859,0.04724286272976144
