scenario,revenue_multiplier,ebitda_margin_delta_pp,fcf_margin_delta_pp,interest_cost_multiplier,revenue,ebitda_proxy,ebitda_margin,free_cash_flow,interest_expense,gross_leverage,post_fcf_gross_debt,post_fcf_gross_leverage,ebitda_interest_coverage_proxy
base,1.03,0.0,0.0,1.0,28130.33,7546.810000000001,0.26828018014719346,3296.0,1208.0,3.3881865317929027,22274.0,2.951445710174232,6.24735927152318
downside,0.9,-3.0,-5.0,1.1,24579.9,5856.903000000001,0.23828018014719346,1651.0049999999999,1328.8000000000002,4.365788540462424,23918.995,4.08389809426586,4.407663305237809
severe,0.8,-6.0,-10.0,1.25,21848.800000000003,4550.672000000001,0.20828018014719346,375.11999999999983,1510.0,5.618950344037099,25194.88,5.53651856253318,3.0136900662251667
